id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
324;169599,38607292058;178861,707155178;192948,00463991446;164102,89465936678;174826,88239510037;193172,27666661056;168061,67068975497;179719,96437731662;204514,08228060626;162510,05077299257;176481,83597669448;196839,5742279622;152275,1581369015;165589,76027017267;182899,63085538291;158232,68435763798;168221,87620215418;187647,9744124421;176041,04341803165;187811,05310343963;206944,2633465031;153464,10148121155;166749,20592717835;184524,69850375806;128599,13856270403;133367,02512072853;144335,44491637626;161903,44588413718;173782,56105824947;194910,087805522
325;169833,55203919427;178371,75275504662;198544,89933764297;158347,8141285205;174973,70123833985;195263,7580427893;168061,67068975497;179511,949073715;200963,81284324735;162510,05077299257;175876,26527244394;195106,93317443645;152275,1581369015;165652,88830272554;181992,82046341075;158232,68435763798;167898,31401383958;182603,69226532575;173938,9080670699;187597,44904689444;207788,52455440265;153464,10148121155;166440,56357267388;186114,1010176115;128956,958502352;133322,08511394804;145304,4451230607;161903,44588413718;173409,36247090145;198204,55947166792
326;167472,16331965398;177772,02080036805;198462,86375071452;165037,35337223936;175199,37818837754;191151,0929534371;168061,67068975497;180108,44431071175;199704,2830826283;163060,96607795916;176374,03174217563;195481,29493366551;152275,1581369015;166376,03273588017;181050,29150195254;157877,5555728058;167628,2930038727;186607,91918596314;171897,9393505516;187668,3679671168;211882,3566162842;153995,1576127182;166633,36755777325;187840,07283838606;129050,35324949955;133239,87991862776;143451,84635173465;161903,44588413718;173198,274769313;192826,46324036954
327;167472,16331965398;178038,5152198675;195435,7851529409;165037,35337223936;174876,9380564771;192984,55962992858;167971,89700759808;180646,86143621284;202224,68719301463;163060,96607795916;176319,44764698148;196003,36371356118;154090,89366327674;167011,47715061824;183141,28269865984;158107,02489654964;167727,00386672857;187530,55851289755;171897,9393505516;187596,70333161062;213866,59435331964;153667,84703536466;166059,5922625545;190124,99883861974;127732,75887909802;132755,46440424994;142778,1180981936;161903,44588413718;173669,32241773573;192536,61863034652
328;169833,55203919427;178233,9436075212;192869,834807918;165037,35337223936;175117,93521828434;193995,55033313992;167967,98749155793;179555,64044743258;195111,22639347502;163060,96607795916;175871,093550432;196398,15152169342;154090,89366327674;166879,69906914208;188533,87263754505;158566,95734749298;167693,93665913984;183830,4436454039;171897,9393505516;187007,49655417053;210802,90729478648;152539,94292918072;165723,0261293908;187787,55046860853;128158,07179032537;132352,43144471347;142847,4450295685;161903,44588413718;173832,50618729257;189654,67873185818
329;167534,6245950881;178343,1423205385;193723,75749560865;165037,35337223936;174801,69315050027;194995,4087055372;168589,17267958054;179924,2414214272;200117,15276846927;162745,88040459465;175729,23884080767;196463,49648632816;154090,89366327674;166390,36149228443;180367,92279665874;158685,50535737304;167219,28248511232;180430,18672480184;171895,05612187227;186646,6665266052;209057,1948309246;153854,20867358986;164774,51215828824;188700,79593345386;125701,25226461644;132003,81433139223;146025,19653098492;163979,8943832129;173519,78241750284;190687,27067195252
330;167396,03159668852;177861,3178228983;192564,84765204616;164836,86592731328;175193,75399671876;196682,46560104622;168589,17267958054;180413,76650170577;202701,48432966217;162745,88040459465;176018,21962220652;194676,37552397026;154090,89366327674;165945,78491479915;185600,28562112295;158685,50535737304;166604,22193747072;182108,19078431142;171895,05612187227;186691,71351473403;206456,1113653758;153998,4065587015;164600,73872427104;180983,9568712628;127838,37202344944;132008,48836375037;140074,6782064715;163543,0214817219;173610,72888412108;192474,79598258645
331;167396,03159668852;178570,82377741745;194847,56499881577;164069,07199028868;175197,11154021893;193078,90994700603;168589,17267958054;180952,3770111746;201372,98139960342;162627,22575291168;175825,86604743602;195229,68238565346;154090,89366327674;166070,31943033997;182540,71663082484;156341,67434726932;166301,5228957316;183064,87933294912;170865,23390317458;186105,82856611247;208546,73279418182;153998,4065587015;164581,0798895492;192797,89954136606;126653,16479233619;131685,7123709542;142287,1424745983;163543,0214817219;173134,11078776844;191066,54303060952
332;167396,03159668852;178956,0430859393;195848,58371143843;164069,07199028868;175007,83928770776;192524,0745225922;168589,17267958054;181887,59682329575;213384,50658803838;159939,52003083596;176587,13000108232;195402,5247748093;154090,89366327674;166602,88731558938;190623,56570843174;155429,88712375096;166419,28890234575;183803,11024083119;170865,23390317458;185872,86964441265;204282,08851022564;153998,4065587015;164563,88586898317;184101,09514232934;126653,16479233619;131740,91910663343;143159,31824362074;164234,29331579723;173020,1524642737;190059,70577494084
333;167396,03159668852;179113,1510925553;204297,0618181964;162329,096132444;175376,46304529597;195649,5248281942;164751,55792778806;181995,82530680127;203479,4533828127;159801,76892330594;176269,76753759087;192711,02978891393;154090,89366327674;166563,7174159738;184572,65581127926;155429,88712375096;166608,92292646904;182033,1853072964;170865,23390317458;185941,6952231411;202558,33123525244;153998,4065587015;163463,2985234322;183353,04022135702;124558,82943116948;131859,58796203465;139793,11697133927;162979,14253709113;172787,12136927288;190643,72958669844
